Object
30
 -100000 Global Angle eric_raheem_head:eric_raheem_head -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_ankle:eric_raheem_l_ankle -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_elbow:eric_raheem_l_elbow -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_knee_fixed:eric_raheem_l_knee_fixed -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_wrist:eric_raheem_l_wrist -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_mid_back:eric_raheem_mid_back -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_mid_front:eric_raheem_mid_front -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_ankle:eric_raheem_r_ankle -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_elbow:eric_raheem_r_elbow -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_knee_fixed:eric_raheem_r_knee_fixed -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_wrist:eric_raheem_r_wrist -100000 -100000 -100000 -100000 -100000 -100000
Frame Sub Frame RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY T
 -100000 rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm m
1 0 -0.36898 1.28382 1.64609 1378.92 196.096 1310.76 -0.148336 -0.0167366 2.31073 1147.84 -127.818 163.812 -0.180289 -1.79724 -0.255511 1123.38 -20.4741 980.515 -100000 -100000 -100000 -100000 -100000 -100000 -0.803952 0.0110212 -0.0928591 1260.73 5.15368 800.63 -0.170263 0.287641 1.97585 1303.47 -330.288 1066.89 -0.346878 0.604926 1.94266 1368.72 -113.075 928.324 0.219883 -0.0518671 1.53253 1546.14 -229.571 135.884 0.646849 2.21972 1.74377 1620.08 -154.592 1102.49 -100000 -100000 -100000 -100000 -100000 -100000 1.75864 1.21149 2.35966 1585.52 -76.6547 836.81
2 0 -0.369402 1.2827 1.64662 1379.93 195.977 1310.24 -0.156654 -0.0104515 2.31085 1151.4 -131.353 163.794 -0.202615 -1.81227 -0.223035 1124.02 -22.0795 980.607 -100000 -100000 -100000 -100000 -100000 -100000 -0.805492 0.00886488 -0.0878359 1261.42 4.38858 799.947 -0.171683 0.289843 1.97514 1303.91 -330.912 1067.15 -0.34687 0.604811 1.94457 1369.22 -114.063 928.351 0.241764 -0.0431878 1.51741 1545.74 -230.218 135.302 0.647978 2.21881 1.74376 1620.68 -155.125 1101.86 -100000 -100000 -100000 -100000 -100000 -100000 1.75309 1.21217 2.35735 1586.8 -77.6448 835.68
3 0 -0.371189 1.28597 1.64672 1380.41 195.935 1309.29 -0.167142 -0.0076447 2.3115 1155.01 -134.857 163.649 -0.200536 -1.8109 -0.222989 1124.86 -22.7564 980.25 -100000 -100000 -100000 -100000 -100000 -100000 -0.81443 0.0149691 -0.0871916 1262.34 3.67824 799.224 -0.172619 0.290504 1.97366 1304.37 -331.524 1067.37 -0.345538 0.604923 1.94548 1369.72 -115.04 928.388 0.244384 -0.0443022 1.51588 1545.93 -230.615 135.361 0.651466 2.21788 1.74445 1621.24 -155.68 1101.19 -100000 -100000 -100000 -100000 -100000 -100000 1.74673 1.21306 2.35587 1588.03 -78.6162 834.55
4 0 -0.375595 1.29157 1.63876 1381.72 194.977 1308.08 -0.175238 -0.00258039 2.31251 1158.46 -138.335 163.579 -0.210666 -1.82247 -0.20349 1125.8 -23.7896 980.287 -100000 -100000 -100000 -100000 -100000 -100000 -0.813323 0.0112056 -0.0820147 1263.23 3.03417 798.449 -0.173683 0.294018 1.97377 1304.79 -332.124 1067.59 -0.343914 0.60253 1.94809 1370.15 -115.967 928.383 0.246601 -0.0459455 1.51366 1546.1 -230.999 135.434 0.653926 2.21782 1.74342 1621.76 -156.219 1100.61 -100000 -100000 -100000 -100000 -100000 -100000 1.7402 1.21481 2.35488 1589.32 -79.5837 833.43
5 0 -0.373576 1.29014 1.64028 1382.37 194.857 1307.72 -0.184859 -0.000117249 2.31427 1161.92 -141.774 163.385 -0.198604 -1.813 -0.212446 1126.48 -24.1194 979.589 -100000 -100000 -100000 -100000 -100000 -100000 -0.821023 0.0140415 -0.0819705 1263.72 2.29176 797.981 -0.176422 0.297793 1.9729 1305.35 -332.779 1067.82 -0.342835 0.60206 1.94984 1370.59 -116.868 928.357 0.248608 -0.0470389 1.51226 1546.3 -231.367 135.521 0.639883 2.21091 1.7459 1622.76 -156.728 1099.99 -100000 -100000 -100000 -100000 -100000 -100000 1.73333 1.21559 2.35401 1590.59 -80.5411 832.29
6 0 -0.375573 1.2908 1.63837 1383.32 194.528 1306.9 -0.194895 0.00496537 2.31558 1165.29 -145.184 163.256 -0.218461 -1.83454 -0.181218 1127.54 -25.246 979.988 -100000 -100000 -100000 -100000 -100000 -100000 -0.823018 0.0137383 -0.0782567 1264.37 1.6331 797.315 -0.177368 0.297583 1.97172 1305.68 -333.342 1068 -0.342438 0.600242 1.95113 1370.97 -117.766 928.325 0.251413 -0.048249 1.50993 1546.43 -231.744 135.555 0.652899 2.21644 1.74603 1622.84 -157.298 1099.1 -100000 -100000 -100000 -100000 -100000 -100000 1.72672 1.21648 2.35307 1591.87 -81.4972 831.15
7 0 -0.372525 1.28828 1.64025 1384.01 194.436 1306.63 -0.200186 0.00801166 2.31709 1168.56 -148.557 163.036 -0.101598 -1.73635 -0.313946 1126.95 -22.3438 976.84 -100000 -100000 -100000 -100000 -100000 -100000 -0.840783 0.01014 -0.0648758 1265.48 0.705638 797.117 -0.179772 0.30037 1.97138 1306.19 -334.018 1068.18 -0.341642 0.599923 1.95175 1371.33 -118.628 928.267 0.25241 -0.0494363 1.508 1546.58 -232.113 135.625 0.655963 2.21358 1.7454 1623.14 -157.846 1098.48 -100000 -100000 -100000 -100000 -100000 -100000 1.71937 1.21761 2.35251 1593.15 -82.4524 830.01
8 0 -0.373292 1.28678 1.64119 1384.94 194.284 1306.02 -0.211138 0.011249 2.31841 1171.8 -151.843 162.805 -0.107924 -1.72493 -0.302299 1127.39 -23.1233 976.63 -100000 -100000 -100000 -100000 -100000 -100000 -0.84391 0.0103402 -0.061567 1266.03 0.0507964 796.497 -0.181381 0.304675 1.97198 1306.57 -334.634 1068.35 -0.346733 0.611881 1.94472 1371.57 -119.686 928.276 0.25372 -0.0447178 1.51237 1547.11 -232.382 135.934 0.660628 2.21226 1.74586 1623.61 -158.353 1097.72 -100000 -100000 -100000 -100000 -100000 -100000 1.71206 1.2188 2.35222 1594.45 -83.3935 828.86
9 0 -0.374226 1.29082 1.63977 1385.33 193.752 1305.12 -0.234437 0.0132809 2.31969 1175.05 -154.971 162.229 -0.107331 -1.72592 -0.295478 1128.1 -23.7753 976.262 -100000 -100000 -100000 -100000 -100000 -100000 -0.842713 0.00909289 -0.0591635 1266.55 -0.624714 795.653 -0.182021 0.305607 1.97014 1306.92 -335.23 1068.48 -0.347361 0.614293 1.94333 1371.94 -120.526 928.177 0.258104 -0.050447 1.5037 1546.93 -232.82 135.751 0.659687 2.2084 1.74645 1624.19 -158.872 1096.97 -100000 -100000 -100000 -100000 -100000 -100000 1.70481 1.21982 2.35184 1595.73 -84.3301 827.70
10 0 -0.374084 1.28693 1.64042 1386.39 193.765 1304.63 -0.244372 0.0154087 2.3222 1178.12 -158.166 161.894 -0.106565 -1.72559 -0.291207 1128.81 -24.3046 975.886 0.211041 -0.432667 1.8581 1215.6 -32.4899 578.349 -0.845421 0.00914345 -0.0571497 1267.14 -1.26117 794.99 -0.183933 0.307341 1.96917 1307.27 -335.834 1068.59 -0.348198 0.615712 1.9425 1372.32 -121.362 928.074 0.260554 -0.0510332 1.50098 1547.06 -233.162 135.791 0.660676 2.2091 1.7469 1624.51 -159.405 1096.2 0.23108 -0.179017 1.83624 1547.53 -158.749 569.509 1.69739 1.2193 2.34711 1597.1 -85.2658 826.48
